epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.304,1.11889,2.54686,1.26191,0.76088,0.60916,0.66873,0.44019,1.24588,1.61139,1.2189,0.0700152,0.00333164,0.00333164
2,264.221,1.11569,1.80662,1.26206,0.72784,0.67319,0.68856,0.463,1.19228,1.48203,1.17809,0.0386955,0.00534531,0.00534531
3,372.356,1.13505,1.70098,1.2756,0.67908,0.66522,0.69068,0.45099,1.26835,1.46842,1.22284,0.00605587,0.00603898,0.00603898
4,473.792,1.1175,1.61084,1.25846,0.69707,0.69547,0.72439,0.49603,1.16037,1.37765,1.17108,0.00406,0.00406,0.00406
5,583.621,1.02048,1.42456,1.2145,0.81807,0.72747,0.78787,0.54536,1.10775,0.98842,1.12007,0.00208,0.00208,0.00208
