epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.784,0.80488,0.91308,1.21145,0.8823,0.79467,0.87153,0.70919,0.7345,0.65994,1.10548,0.0667289,3.33044e-05,3.33044e-05
2,576.149,0.75029,0.83266,1.18657,0.88291,0.82514,0.88335,0.73221,0.70809,0.59801,1.09615,0.0334256,6.33391e-05,6.33391e-05
3,974.869,0.72559,0.78677,1.16713,0.91176,0.81669,0.88955,0.73573,0.67732,0.57091,1.0652,0.000119034,9.00739e-05,9.00739e-05
4,1367.98,0.71795,0.76348,1.16813,0.88633,0.84363,0.89832,0.74813,0.65836,0.54071,1.0618,8.515e-05,8.515e-05,8.515e-05
5,1769.06,0.699,0.73021,1.1561,0.89223,0.82365,0.89373,0.74059,0.68816,0.5701,1.09645,8.02e-05,8.02e-05,8.02e-05
6,2042.74,0.69659,0.71287,1.15917,0.8981,0.83085,0.89236,0.74782,0.65177,0.55151,1.07392,7.525e-05,7.525e-05,7.525e-05
7,2256.04,0.67963,0.70119,1.14753,0.8884,0.82891,0.89922,0.74618,0.66535,0.53152,1.07438,7.03e-05,7.03e-05,7.03e-05
8,2470.44,0.66841,0.67121,1.13816,0.89701,0.83754,0.89173,0.75039,0.65975,0.52564,1.06456,6.535e-05,6.535e-05,6.535e-05
9,2683.4,0.65734,0.66244,1.13318,0.88262,0.85923,0.90268,0.75611,0.63193,0.53096,1.0637,6.04e-05,6.04e-05,6.04e-05
10,2898.22,0.63781,0.62262,1.12765,0.8991,0.85482,0.90538,0.76546,0.63792,0.51296,1.06059,5.545e-05,5.545e-05,5.545e-05
11,3181.75,0.43043,0.33465,0.97237,0.90557,0.84414,0.89997,0.75665,0.64777,0.52852,1.06553,5.05e-05,5.05e-05,5.05e-05
12,3405.27,0.41787,0.31383,0.96431,0.90382,0.84386,0.89392,0.75239,0.64013,0.51007,1.06109,4.555e-05,4.555e-05,4.555e-05
13,3628.59,0.40266,0.29554,0.95609,0.90551,0.84586,0.89384,0.74859,0.64482,0.50862,1.06869,4.06e-05,4.06e-05,4.06e-05
14,3850.36,0.39431,0.27971,0.94856,0.89146,0.84163,0.89882,0.75528,0.64111,0.52237,1.05684,3.565e-05,3.565e-05,3.565e-05
15,4075,0.38547,0.26861,0.94545,0.91488,0.83895,0.89723,0.76525,0.61944,0.50148,1.06412,3.07e-05,3.07e-05,3.07e-05
16,4297.42,0.37323,0.2536,0.94098,0.90914,0.84735,0.89571,0.76309,0.6217,0.50697,1.0597,2.575e-05,2.575e-05,2.575e-05
17,4520.75,0.36408,0.24291,0.93397,0.89304,0.8509,0.89567,0.76368,0.62057,0.50842,1.05643,2.08e-05,2.08e-05,2.08e-05
18,4746.1,0.35686,0.23488,0.93336,0.90896,0.84829,0.90176,0.76846,0.61914,0.48448,1.0633,1.585e-05,1.585e-05,1.585e-05
19,4970.69,0.34967,0.22688,0.92567,0.90411,0.86286,0.90306,0.77335,0.6031,0.47648,1.04626,1.09e-05,1.09e-05,1.09e-05
20,5197.5,0.34587,0.21958,0.92383,0.90494,0.86309,0.90646,0.77872,0.60005,0.47817,1.0417,5.95e-06,5.95e-06,5.95e-06
