epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.96,1.01402,0.95516,1.45973,0.89212,0.75202,0.82995,0.56922,1.21992,0.85502,1.45366,0.0668669,0.000166498,0.000166498
2,407.074,0.94352,0.86925,1.38239,0.87148,0.77845,0.84311,0.6006,1.14491,0.79198,1.38252,0.0336937,0.000326568,0.000326568
3,603.851,0.90845,0.82071,1.36234,0.88444,0.78467,0.85102,0.58578,1.18721,0.74827,1.41012,0.00051381,0.000480038,0.000480038
4,797.986,0.91197,0.82751,1.36625,0.86499,0.78262,0.84903,0.58799,1.16801,0.77812,1.38579,0.0004703,0.0004703,0.0004703
5,991.271,0.8943,0.80586,1.34897,0.88573,0.78306,0.84399,0.5859,1.16884,0.74783,1.40559,0.0004604,0.0004604,0.0004604
6,1185.72,0.89793,0.80062,1.34914,0.89588,0.79292,0.86445,0.6142,1.0972,0.70381,1.34731,0.0004505,0.0004505,0.0004505
7,1380.35,0.87683,0.78711,1.3269,0.88409,0.80492,0.86654,0.61099,1.13353,0.71155,1.3638,0.0004406,0.0004406,0.0004406
8,1577.25,0.86181,0.77125,1.3265,0.89649,0.78369,0.85198,0.59671,1.14589,0.72863,1.38089,0.0004307,0.0004307,0.0004307
9,1771.98,0.8661,0.76697,1.31935,0.88851,0.77067,0.844,0.59669,1.14277,0.75552,1.38374,0.0004208,0.0004208,0.0004208
10,1965.84,0.84852,0.73479,1.31394,0.87587,0.78688,0.84992,0.60945,1.10288,0.72843,1.36451,0.0004109,0.0004109,0.0004109
11,2160.51,0.84628,0.7374,1.30914,0.88511,0.79938,0.85927,0.61216,1.10964,0.71766,1.36204,0.000401,0.000401,0.000401
12,2354.79,0.83253,0.71724,1.30402,0.90295,0.78616,0.86302,0.62994,1.05639,0.68788,1.32693,0.0003911,0.0003911,0.0003911
13,2550.42,0.81886,0.70241,1.28436,0.9158,0.76552,0.85916,0.63356,1.04438,0.70243,1.31431,0.0003812,0.0003812,0.0003812
14,2745.71,0.80838,0.68349,1.2806,0.88344,0.78545,0.8554,0.63889,1.01988,0.69478,1.30953,0.0003713,0.0003713,0.0003713
15,3074.48,0.80377,0.67763,1.2649,0.89697,0.7808,0.85736,0.64146,1.00769,0.70911,1.30304,0.0003614,0.0003614,0.0003614
16,3265.14,0.80557,0.69108,1.26999,0.8841,0.79867,0.85762,0.63709,1.00088,0.67184,1.3023,0.0003515,0.0003515,0.0003515
17,3459.93,0.78596,0.67279,1.25506,0.91163,0.79104,0.86711,0.64767,0.99228,0.65923,1.28959,0.0003416,0.0003416,0.0003416
18,3652.98,0.79477,0.65444,1.25794,0.90304,0.78378,0.85847,0.64842,0.99038,0.66887,1.29618,0.0003317,0.0003317,0.0003317
19,3845.04,0.77559,0.6449,1.24826,0.8842,0.80764,0.86672,0.65267,0.96853,0.63445,1.28369,0.0003218,0.0003218,0.0003218
20,4036.78,0.77473,0.6299,1.24252,0.90484,0.79579,0.86567,0.65275,0.9813,0.64436,1.28577,0.0003119,0.0003119,0.0003119
21,4225.12,0.76256,0.62616,1.23977,0.91346,0.79958,0.86747,0.65109,0.98025,0.63688,1.30408,0.000302,0.000302,0.000302
22,4413.57,0.77046,0.64105,1.24135,0.89336,0.80494,0.87107,0.65137,0.99126,0.63952,1.29858,0.0002921,0.0002921,0.0002921
23,4602.85,0.75434,0.61949,1.22719,0.89537,0.79954,0.8716,0.65544,0.97598,0.63437,1.28845,0.0002822,0.0002822,0.0002822
24,4791.99,0.74868,0.615,1.22211,0.91528,0.79625,0.87785,0.66094,0.9732,0.61216,1.27697,0.0002723,0.0002723,0.0002723
25,4982.12,0.7435,0.60665,1.2207,0.91694,0.78729,0.86413,0.65867,0.96761,0.65939,1.28822,0.0002624,0.0002624,0.0002624
26,5178.08,0.73015,0.59631,1.20666,0.90877,0.79453,0.8721,0.66597,0.95834,0.64426,1.28796,0.0002525,0.0002525,0.0002525
