epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.514,1.28784,1.93113,1.48928,0.56214,0.45283,0.4606,0.25389,1.63716,2.10997,1.61193,0.0670209,0.000333122,0.000333122
2,253.526,1.27986,1.81175,1.51773,0.51635,0.55205,0.54452,0.30572,1.47804,1.98682,1.6079,0.0340077,0.00065326,0.00065326
3,389.218,1.21571,1.66977,1.47821,0.64501,0.62868,0.66546,0.41464,1.34084,1.42195,1.46107,0.000981321,0.000960197,0.000960197
4,521.837,1.16573,1.51696,1.44463,0.70781,0.66839,0.69577,0.43188,1.34995,1.27912,1.51395,0.0009406,0.0009406,0.0009406
5,646.18,1.10394,1.4188,1.40839,0.78057,0.69832,0.75234,0.49316,1.24572,1.12199,1.42821,0.0009208,0.0009208,0.0009208
6,779.071,1.06487,1.32852,1.39067,0.76441,0.71371,0.75885,0.4992,1.20618,1.12367,1.38473,0.000901,0.000901,0.000901
7,909.661,1.04307,1.27075,1.37004,0.81797,0.70687,0.77327,0.5236,1.20911,1.0025,1.43527,0.0008812,0.0008812,0.0008812
8,1037.43,0.99305,1.16086,1.34292,0.82652,0.71581,0.77528,0.52028,1.22005,0.99714,1.3898,0.0008614,0.0008614,0.0008614
9,1164.37,0.99211,1.17785,1.34311,0.83545,0.7321,0.79358,0.55193,1.13297,0.93924,1.36792,0.0008416,0.0008416,0.0008416
10,1297.45,0.96366,1.11262,1.32452,0.83048,0.72587,0.79059,0.54356,1.16282,0.98439,1.37863,0.0008218,0.0008218,0.0008218
11,1425.8,0.95034,1.09666,1.3148,0.83043,0.75227,0.79986,0.5458,1.13261,0.91098,1.3525,0.000802,0.000802,0.000802
