epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.513,1.02646,1.23583,1.44978,0.7083,0.6502,0.67439,0.44845,1.19895,1.36073,1.46103,0.0670209,0.000333122,0.000333122
2,731.57,1.00239,1.21846,1.41148,0.80958,0.69571,0.76571,0.51144,1.2352,1.09225,1.45908,0.0340077,0.00065326,0.00065326
3,1143.99,1.00505,1.22518,1.41986,0.79089,0.69126,0.74762,0.49263,1.21877,1.11264,1.44064,0.000981321,0.000960197,0.000960197
4,1559.91,1.00243,1.20599,1.41036,0.78195,0.68149,0.74773,0.50878,1.16637,1.17465,1.39266,0.0009406,0.0009406,0.0009406
5,1967.48,0.97211,1.14762,1.38958,0.82118,0.73309,0.79011,0.5487,1.11729,0.99361,1.36199,0.0009208,0.0009208,0.0009208
6,2182.57,0.95069,1.11383,1.37068,0.79768,0.69764,0.7792,0.53842,1.11992,1.0541,1.37705,0.000901,0.000901,0.000901
7,2342.22,0.94997,1.11517,1.37031,0.81038,0.74515,0.80291,0.54381,1.17352,0.98383,1.38297,0.0008812,0.0008812,0.0008812
8,2503.86,0.92958,1.06202,1.35529,0.85161,0.72802,0.80159,0.55536,1.12984,0.93762,1.35325,0.0008614,0.0008614,0.0008614
9,2669.78,0.91199,1.05268,1.34235,0.85383,0.72817,0.80556,0.57614,1.0827,0.90864,1.32585,0.0008416,0.0008416,0.0008416
10,2863.68,0.89826,0.99698,1.32935,0.83159,0.73339,0.80813,0.56386,1.11343,0.94182,1.34858,0.0008218,0.0008218,0.0008218
11,3188.89,0.91166,1.0202,1.33571,0.81752,0.7515,0.81002,0.58312,1.05747,0.94001,1.30755,0.000802,0.000802,0.000802
12,3349.7,0.88716,0.98743,1.31952,0.82772,0.75357,0.81113,0.56414,1.09285,0.86634,1.33991,0.0007822,0.0007822,0.0007822
13,3513.12,0.88669,0.97475,1.32704,0.86201,0.7589,0.82672,0.59538,1.02945,0.85205,1.2791,0.0007624,0.0007624,0.0007624
14,3675.66,0.86952,0.96278,1.31495,0.85568,0.75763,0.82361,0.58504,1.06285,0.84618,1.30361,0.0007426,0.0007426,0.0007426
15,3841.85,0.86065,0.93038,1.30559,0.87432,0.7391,0.82055,0.59343,1.05909,0.83655,1.31143,0.0007228,0.0007228,0.0007228
16,4005.79,0.85411,0.9231,1.30137,0.86358,0.74904,0.83064,0.59702,1.04155,0.82998,1.30627,0.000703,0.000703,0.000703
17,4173.06,0.85298,0.9262,1.30155,0.838,0.7804,0.83621,0.59814,1.0423,0.80863,1.28653,0.0006832,0.0006832,0.0006832
18,4344.46,0.85408,0.90824,1.2964,0.89471,0.74337,0.83108,0.60448,1.03029,0.82443,1.28117,0.0006634,0.0006634,0.0006634
19,4506.91,0.84379,0.88946,1.28914,0.87556,0.77544,0.84436,0.61066,1.04367,0.77006,1.28144,0.0006436,0.0006436,0.0006436
20,4676.01,0.8378,0.87513,1.28385,0.87569,0.76497,0.84212,0.61323,1.02267,0.79161,1.2685,0.0006238,0.0006238,0.0006238
21,4844.59,0.81734,0.85428,1.27774,0.89147,0.75748,0.83635,0.61296,1.0103,0.79297,1.25637,0.000604,0.000604,0.000604
22,5012.32,0.80968,0.84777,1.26991,0.8789,0.76776,0.84607,0.62118,1.00754,0.77178,1.26985,0.0005842,0.0005842,0.0005842
23,5174.61,0.80443,0.82502,1.26092,0.88258,0.76407,0.84555,0.62525,1.00331,0.76492,1.28387,0.0005644,0.0005644,0.0005644
24,5342.18,0.80148,0.83182,1.26268,0.88153,0.78375,0.84943,0.63166,0.98518,0.72996,1.24197,0.0005446,0.0005446,0.0005446
25,5502.73,0.78975,0.80274,1.25126,0.8984,0.7792,0.86179,0.64144,0.96237,0.71747,1.2352,0.0005248,0.0005248,0.0005248
26,5666.27,0.7837,0.79284,1.2544,0.86813,0.79943,0.858,0.63746,0.9782,0.71458,1.24548,0.000505,0.000505,0.000505
27,5831.26,0.79098,0.78668,1.2553,0.84355,0.78188,0.83306,0.62742,0.95463,0.77924,1.24113,0.0004852,0.0004852,0.0004852
28,5997.15,0.77179,0.77448,1.24152,0.86494,0.7936,0.85712,0.63976,0.96828,0.73186,1.24058,0.0004654,0.0004654,0.0004654
29,6166.39,0.76791,0.75646,1.23723,0.8734,0.77958,0.85557,0.64104,0.95884,0.73132,1.24685,0.0004456,0.0004456,0.0004456
30,6334.86,0.75207,0.75173,1.23323,0.85848,0.78517,0.84771,0.63607,0.96177,0.73611,1.22572,0.0004258,0.0004258,0.0004258
31,6500.62,0.76072,0.74421,1.22935,0.8744,0.78233,0.85916,0.64933,0.94335,0.69428,1.20803,0.000406,0.000406,0.000406
32,6662.38,0.74971,0.719,1.22289,0.85187,0.79849,0.85652,0.63842,0.96687,0.70659,1.23418,0.0003862,0.0003862,0.0003862
33,6831.02,0.74067,0.71585,1.21925,0.86595,0.7941,0.85895,0.64748,0.95505,0.72194,1.21717,0.0003664,0.0003664,0.0003664
34,6998.34,0.73269,0.70765,1.21216,0.88871,0.78365,0.86384,0.65362,0.93944,0.66442,1.20902,0.0003466,0.0003466,0.0003466
35,7166.24,0.72243,0.69236,1.20205,0.88748,0.78889,0.86276,0.65415,0.93425,0.68047,1.20254,0.0003268,0.0003268,0.0003268
36,7329.74,0.7189,0.67005,1.19973,0.86181,0.79785,0.84732,0.64373,0.92058,0.71859,1.20173,0.000307,0.000307,0.000307
37,7497.33,0.70934,0.65825,1.19249,0.86551,0.81772,0.86846,0.65377,0.94139,0.6623,1.21316,0.0002872,0.0002872,0.0002872
38,7665.27,0.71452,0.66721,1.19615,0.87997,0.79147,0.84595,0.6373,0.93624,0.73867,1.21865,0.0002674,0.0002674,0.0002674
39,7833.59,0.69394,0.6472,1.19226,0.90185,0.8142,0.8775,0.66548,0.92842,0.62916,1.20438,0.0002476,0.0002476,0.0002476
40,8002.12,0.69378,0.6277,1.1827,0.87691,0.8157,0.87349,0.66436,0.92814,0.63653,1.19909,0.0002278,0.0002278,0.0002278
41,8177.59,0.63991,0.4948,1.09931,0.89576,0.80494,0.87339,0.66241,0.92331,0.6318,1.19296,0.000208,0.000208,0.000208
