epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.803,0.99294,1.27532,1.41089,0.6348,0.5137,0.54826,0.34919,1.43459,1.89844,1.81983,0.0670287,0.000333044,0.000333044
2,659.341,1.17047,1.63178,1.55788,0.61143,0.57906,0.60718,0.41407,1.31549,1.66785,1.71257,0.034012,0.000649734,0.000649734
3,978.549,1.14151,1.57327,1.53213,0.69343,0.61751,0.66616,0.45921,1.23323,1.62653,1.64056,0.000978735,0.000949775,0.000949775
4,1285.44,1.09835,1.48644,1.49635,0.82653,0.61967,0.71878,0.51385,1.18727,1.34332,1.5638,0.000925075,0.000925075,0.000925075
5,1595.23,1.03083,1.35439,1.45085,0.7974,0.67657,0.77129,0.56145,1.02967,1.13317,1.47149,0.0009001,0.0009001,0.0009001
6,1906.02,0.98424,1.26718,1.4165,0.82044,0.72243,0.79841,0.59363,0.97937,1.01119,1.42402,0.000875125,0.000875125,0.000875125
7,2216.23,0.9515,1.21193,1.3898,0.84654,0.69882,0.79489,0.60207,0.96122,1.0239,1.40336,0.00085015,0.00085015,0.00085015
8,2525.11,0.93242,1.15188,1.36774,0.83945,0.72973,0.81213,0.62654,0.9372,0.96055,1.35345,0.000825175,0.000825175,0.000825175
9,2834.4,0.90218,1.10944,1.3511,0.88021,0.71754,0.82978,0.63739,0.9071,0.89597,1.33093,0.0008002,0.0008002,0.0008002
10,3143.42,0.87261,1.04642,1.33402,0.86257,0.73796,0.82426,0.65414,0.84003,0.90511,1.29485,0.000775225,0.000775225,0.000775225
11,3452.75,0.86424,1.03526,1.32577,0.83894,0.7196,0.81071,0.64092,0.86907,0.92245,1.30806,0.00075025,0.00075025,0.00075025
12,3763.26,0.84816,1.0108,1.31092,0.86583,0.7275,0.82836,0.65851,0.8362,0.83713,1.29197,0.000725275,0.000725275,0.000725275
13,4076.44,0.84441,0.98643,1.3082,0.85433,0.7572,0.84228,0.67577,0.82051,0.79677,1.27107,0.0007003,0.0007003,0.0007003
