epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3407.96,1.08354,1.74161,1.30008,0.70839,0.63195,0.66494,0.40138,1.36636,1.4572,1.48281,0.000332996,0.000332996,0.000332996
2,6654.54,1.1108,1.42508,1.31703,0.79147,0.6403,0.71436,0.44292,1.30341,1.2879,1.38986,0.000534396,0.000534396,0.000534396
3,10329.7,1.05995,1.28853,1.2845,0.78722,0.70313,0.7605,0.50323,1.2219,1.09826,1.32686,0.000603796,0.000603796,0.000603796
4,14707.8,0.96998,1.13102,1.24057,0.854,0.73803,0.80496,0.54682,1.13695,0.92106,1.26395,0.000406,0.000406,0.000406
5,18832.2,0.87256,0.95259,1.183,0.85367,0.78702,0.84814,0.61247,1.01133,0.77087,1.16798,0.000208,0.000208,0.000208
