epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.744,0.92829,1.31351,1.29528,0.82271,0.68992,0.78453,0.59962,0.88307,0.93835,1.26882,0.0667289,3.33044e-05,3.33044e-05
2,480.454,0.80687,0.9835,1.21432,0.85408,0.72094,0.82363,0.65636,0.80677,0.84555,1.19264,0.0334256,6.33391e-05,6.33391e-05
3,707.292,0.7812,0.89453,1.19874,0.86508,0.74838,0.84141,0.66969,0.78403,0.74135,1.18076,0.000119034,9.00739e-05,9.00739e-05
4,928.951,0.73092,0.8093,1.17198,0.86261,0.81111,0.86831,0.6955,0.7409,0.68088,1.13616,8.515e-05,8.515e-05,8.515e-05
5,1153.42,0.70729,0.75105,1.15521,0.85655,0.80034,0.86785,0.70457,0.74256,0.66278,1.13268,8.02e-05,8.02e-05,8.02e-05
6,1386.63,0.68724,0.71544,1.13683,0.87372,0.82473,0.88031,0.72024,0.71693,0.60085,1.09945,7.525e-05,7.525e-05,7.525e-05
7,1611.41,0.66638,0.6768,1.12729,0.87192,0.8125,0.88089,0.72014,0.72682,0.61673,1.12255,7.03e-05,7.03e-05,7.03e-05
8,1837.3,0.65247,0.65127,1.12262,0.87547,0.84338,0.88833,0.73308,0.69761,0.56128,1.08719,6.535e-05,6.535e-05,6.535e-05
9,2062.88,0.63479,0.62056,1.11182,0.87778,0.83725,0.89702,0.74168,0.68371,0.55862,1.07392,6.04e-05,6.04e-05,6.04e-05
10,2289.14,0.62966,0.59445,1.101,0.89159,0.82891,0.89602,0.74438,0.67125,0.55898,1.08416,5.545e-05,5.545e-05,5.545e-05
11,2598.61,0.49969,0.41542,1.0194,0.88754,0.82747,0.88531,0.73515,0.68329,0.58623,1.08793,5.05e-05,5.05e-05,5.05e-05
12,2822.71,0.47828,0.38813,1.0069,0.87798,0.85432,0.89498,0.74091,0.66391,0.54704,1.06685,4.555e-05,4.555e-05,4.555e-05
13,3048.7,0.45926,0.36572,0.9951,0.89149,0.84348,0.8981,0.74682,0.6453,0.52467,1.06105,4.06e-05,4.06e-05,4.06e-05
14,3273.48,0.44889,0.34737,0.98712,0.89004,0.84191,0.89612,0.75428,0.64201,0.5293,1.06548,3.565e-05,3.565e-05,3.565e-05
15,3509.32,0.43064,0.3221,0.97808,0.88323,0.85077,0.89987,0.75888,0.64383,0.53572,1.05885,3.07e-05,3.07e-05,3.07e-05
16,3729.25,0.42359,0.30669,0.96963,0.91128,0.84858,0.91198,0.77064,0.63224,0.4893,1.04104,2.575e-05,2.575e-05,2.575e-05
17,3947.39,0.40681,0.29183,0.95831,0.90465,0.85492,0.90975,0.76971,0.6269,0.48821,1.04877,2.08e-05,2.08e-05,2.08e-05
18,4167.51,0.39615,0.27388,0.95696,0.90471,0.85912,0.90969,0.77103,0.62039,0.48398,1.04306,1.585e-05,1.585e-05,1.585e-05
19,4391.99,0.3898,0.2622,0.94916,0.89622,0.87192,0.91015,0.77217,0.62997,0.48418,1.04037,1.09e-05,1.09e-05,1.09e-05
20,4619.33,0.37864,0.24982,0.94276,0.90334,0.86509,0.91114,0.77504,0.62212,0.47583,1.0431,5.95e-06,5.95e-06,5.95e-06
