epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3678.43,1.12217,2.53513,1.25676,0.71277,0.63583,0.67636,0.42491,1.27916,1.91291,1.24271,0.0700152,0.00333164,0.00333164
2,6807.28,1.10273,1.77436,1.2488,0.77891,0.65048,0.71041,0.4782,1.18026,1.48385,1.16154,0.0378158,0.00446553,0.00446553
3,9901.39,1.06833,1.58642,1.23267,0.75346,0.68669,0.73899,0.48892,1.18247,1.48056,1.17952,0.00341632,0.00339943,0.00339943
